iso_code;country;year;co2;co2_per_capita;trade_co2;cement_co2;cement_co2_per_capita;coal_co2;coal_co2_per_capita;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;oil_co2;oil_co2_per_capita;co2_growth_prct;co2_growth_abs;co2_per_unit_energy;cumulative_co2;cumulative_cement_co2;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_oil_co2;cumulative_other_co2;share_global_co2;share_global_cement_co2;share_global_coal_co2;share_global_flaring_co2;share_global_gas_co2;share_global_oil_co2;share_global_other_co2;share_global_cumulative_co2;share_global_cumulative_cement_co2;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_oil_co2;population;gdp;primary_energy_consumption;energy_per_capita
SUR;Suriname;2020;2.224;3.791;;0.012;0.02;;;;;0.009;0.015;2.203;3.756;-11.75;-0.296;;115.203;1.277;;;0.156;112.36;;0.01;0.0;;;0.0;0.02;;0.01;0.0;;;0.0;0.02;586634.0;;;
SWE;Sweden;2020;38.635;3.826;;1.349;0.134;7.367;0.73;0.536;0.053;1.84;0.182;27.016;2.675;-5.62;-2.302;0.063;4.987.956;110.62;1.503.429;17.103;70.227;3.267.419;19.158;0.11;0.08;0.05;0.12;0.02;0.24;0.18;0.29;0.26;0.19;0.1;0.03;0.55;10099270.0;;610.949;60.494.342
CHE;Switzerland;2020;32.298;3.732;;1.732;0.2;0.434;0.05;0.033;0.004;6.528;0.754;23.401;2.704;-12.09;-4.444;0.108;3.022.785;136.546;591.65;1.231;223.857;2062.71;6.791;0.09;0.11;0.0;0.01;0.09;0.21;0.06;0.18;0.32;0.08;0.01;0.09;0.35;8654618.0;;299.421;34.596.661
SYR;Syria;2020;30.532;1.745;;0.559;0.032;0.003;0.0;1.671;0.096;7.408;0.423;20.891;1.194;-1.54;-0.477;;1.867.934;72.463;0.622;87.722;293.893;1.413.234;;0.09;0.03;0.0;0.38;0.1;0.19;;0.11;0.17;0.0;0.49;0.12;0.24;17500657.0;;;
TWN;Taiwan;2020;273.175;11.47;;5.378;0.226;154.019;6.467;;;46.425;1.949;66.328;2.785;-0.78;-2.158;0.204;9.046.736;397.361;4.510.106;;733.35;3.363.325;42.594;0.78;0.33;1.1;;0.63;0.6;0.34;0.53;0.92;0.57;;0.3;0.57;23816775.0;;1.338.485;56.199.237
TJK;Tajikistan;2020;9.448;0.991;;1.879;0.197;4.987;0.523;;;0.114;0.012;2.468;0.259;9.42;0.814;;489.614;18.471;123.728;;83.497;261.83;;0.03;0.12;0.04;;0.0;0.02;;0.03;0.04;0.02;;0.03;0.04;9537642.0;;;
TZA;Tanzania;2020;10.939;0.183;;1.747;0.029;1.469;0.025;0.004;0.0;1.59;0.027;6.129;0.103;-9.17;-1.104;;243.841;25.156;12.118;0.07;23.135;183.364;;0.03;0.11;0.01;0.0;0.02;0.06;;0.01;0.06;0.0;0.0;0.01;0.03;59734213.0;;;
THA;Thailand;2020;257.766;3.693;;15.091;0.216;55.013;0.788;;;76.123;1.091;111.539;1.598;-5.1;-13.859;0.181;7.364.298;481.818;1.373.765;;1.678.235;3.830.481;;0.74;0.93;0.39;;1.03;1.01;;0.43;1.12;0.17;;0.68;0.65;69799978.0;;1.421.846;20.370.287
TLS;Timor;2020;0.526;0.399;;;;;;;;;;0.526;0.399;0.14;0.001;;6.543;;;;;6.256;;0.0;;;;;0.0;;0.0;;;;;0.0;1318442.0;;;
TGO;Togo;2020;2.192;0.265;;0.868;0.105;;;;;0.095;0.012;1.228;0.148;-4.93;-0.114;;66.128;20.231;;;0.524;45.373;;0.01;0.05;;;0.0;0.01;;0.0;0.05;;;0.0;0.01;8278736.0;;;
TON;Tonga;2020;0.144;1.36;;;;;;;;;;0.144;1.36;0.14;0.0;;4.384;;;;;4.384;;0.0;;;;;0.0;;0.0;;;;;0.0;105697.0;;;
TTO;Trinidad and Tobago;2020;35.509;25.373;;0.252;0.18;;;;;31.136;22.248;4.122;2.945;-12.06;-4.869;0.205;1.569.561;12.727;;;1.022.241;427.676;;0.1;0.02;;;0.42;0.04;;0.09;0.03;;;0.42;0.07;1399491.0;;173.257;123.799.685
TUN;Tunisia;2020;28.127;2.38;;3.125;0.264;;;0.275;0.023;13.056;1.105;11.671;0.988;-6.28;-1.884;;901.512;106.142;;9.549;258.433;512.787;;0.08;0.19;;0.06;0.18;0.11;;0.05;0.25;;0.05;0.11;0.09;11818618.0;;;
TUR;Turkey;2020;392.794;4.657;;35.227;0.418;156.127;1.851;0.183;0.002;88.946;1.055;105.908;1.256;-1.64;-6.551;0.225;10.839.788;847.572;4461.38;5.373;1.662.903;3726.61;135.95;1.13;2.17;1.12;0.04;1.2;0.96;2.15;0.64;1.96;0.57;0.03;0.68;0.63;84339067.0;;1.747.137;20.715.625
TKM;Turkmenistan;2020;75.338;12.491;;1.45;0.24;;;;;53.863;8.931;20.024;3.32;-1.29;-0.981;0.193;2.434.766;36.649;;;1.354.213;957.645;;0.22;0.09;;;0.73;0.18;;0.14;0.08;;;0.55;0.16;6031187.0;;389.851;64.639.236
TCA;Turks and Caicos Islands;2020;0.203;5.231;;;;;;;;;;0.203;5.231;-11.51;-0.026;;3.931;;;;;3.931;;0.0;;;;;0.0;;0.0;;;;;0.0;38718.0;;;
TUV;Tuvalu;2020;0.008;0.642;;;;;;;;;;0.008;0.642;0.15;0.0;;0.279;;;;;0.279;;0.0;;;;;0.0;;0.0;;;;;0.0;11792.0;;;
UGA;Uganda;2020;4.892;0.107;;0.372;0.008;;;;;;;4.52;0.099;-14.48;-0.829;;105.595;7.49;;;;98.105;;0.01;0.02;;;;0.04;;0.01;0.02;;;;0.02;45741000.0;;;
UKR;Ukraine;2020;213.909;4.891;;4.079;0.093;104.559;2.391;2.355;0.054;62.769;1.435;37.45;0.856;-3.9;-8.67;0.232;30.559.156;396.736;16.962.369;168.646;6.242.001;6.677.743;111.661;0.61;0.25;0.75;0.54;0.85;0.34;0.91;1.8;0.92;2.15;0.95;2.55;1.13;43733759.0;;920.527;21.048.438
ARE;United Arab Emirates;2020;150.268;15.193;;8.732;0.883;9.81;0.992;1.125;0.114;115.025;11.63;15.577;1.575;-2.54;-3.918;0.129;4.695.477;155.329;75.601;416.946;2.848.584;1.199.017;;0.43;0.54;0.07;0.26;1.55;0.14;;0.28;0.36;0.01;2.34;1.16;0.2;9890400.0;;1.163.958;117.685.602
GBR;United Kingdom;2020;329.579;4.855;;4.448;0.066;22.646;0.334;4.504;0.066;156.825;2.31;137.846;2.031;-10.69;-39.431;0.172;78.161.146;520.196;56.820.921;291.475;7002.51;13418.03;108.013;0.95;0.27;0.16;1.04;2.12;1.24;1.11;4.61;1.21;7.21;1.64;2.86;2.26;67886004.0;;1.915.147;28.211.222
USA;United States;2020;4.712.771;14.238;;40.795;0.123;888.649;2.685;84.51;0.255;1.654.988;5.0;2.020.538;6.104;-10.33;-543.046;0.193;416.723.089;2.745.186;175.650.187;2.253.809;76.554.828;158.138.194;1.380.885;13.54;2.51;6.36;19.43;22.37;18.25;7.82;24.56;6.36;22.28;12.67;31.22;26.68;331002647.0;;24.387.388;73.677.319
;Upper-middle-income countries;2020;15.895.922;6.22;;1.040.909;0.407;8.866.714;3.47;143.612;0.056;2.216.205;0.867;3.421.046;1.339;-0.99;-158.452;0.249;504.295.277;21.626.272;271.703.731;4.778.088;64.775.612;135.650.245;5.761.328;45.67;64.0;63.44;33.01;29.95;30.9;69.67;29.73;50.1;34.46;26.85;26.41;22.89;;;;
URY;Uruguay;2020;5.84;1.681;;0.32;0.092;0.002;0.001;;;0.093;0.027;5.424;1.561;-11.3;-0.744;;371.229;20.463;4.083;;2.651;344.032;;0.02;0.02;0.0;;0.0;0.05;;0.02;0.05;0.0;;0.0;0.06;3473727.0;;;
UZB;Uzbekistan;2020;112.784;3.37;;3.53;0.106;11.351;0.339;;;87.112;2.603;10.792;0.322;-1.24;-1.415;0.217;6.310.349;165.754;553.221;;3.805.499;1.752.584;;0.32;0.22;0.08;;1.18;0.1;;0.37;0.38;0.07;;1.55;0.3;33469199.0;;520.18;15.542.044
VUT;Vanuatu;2020;0.182;0.591;;;;;;;;;;0.182;0.591;0.14;0.0;;4.752;;;;;4.597;;0.0;;;;;0.0;;0.0;;;;;0.0;307150.0;;;
VEN;Venezuela;2020;84.609;2.975;;2.76;0.097;0.05;0.002;29.012;1.02;24.732;0.87;28.056;0.987;-14.69;-14.566;0.211;7.854.692;155.68;37.64;1.385.794;2.339.731;3.935.847;;0.24;0.17;0.0;6.67;0.33;0.25;;0.46;0.36;0.0;7.79;0.95;0.66;28435943.0;;400.429;14.081.797
VNM;Vietnam;2020;254.303;2.613;;53.038;0.545;126.085;1.295;;;16.735;0.172;58.445;0.6;-2.31;-6.009;0.224;3.977.272;566.585;1.818.602;;296.448;1.294.842;;0.73;3.26;0.9;;0.23;0.53;;0.23;1.31;0.23;;0.12;0.22;97338583.0;;1.135.833;11.668.892
;Wallis and Futuna;2020;0.026;2.354;;;;;;;;;;0.026;2.354;0.14;0.0;;0.507;;;;;0.507;;0.0;;;;;0.0;;0.0;;;;;0.0;11246.0;;;
OWID_WRL;World;2020;34.807.259;4.465;0.0;1.626.371;0.209;13.976.098;1.793;435.034;0.056;7.399.509;0.949;11.072.501;1.42;-5.16;-1.895.244;0.225;1.696.524.177;43163.19;788.362.044;17.792.749;245.231.878;592.621.162;7.725.988;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;7794798725.0;;154620.43;19836.36
YEM;Yemen;2020;9.768;0.328;;0.692;0.023;0.266;0.009;;;0.215;0.007;8.596;0.288;-2.52;-0.252;;624.654;22.826;4.711;;14.052;583.065;;0.03;0.04;0.0;;0.0;0.08;;0.04;0.05;0.0;;0.01;0.1;29825968.0;;;
ZMB;Zambia;2020;6.573;0.358;;1.066;0.058;2.418;0.132;;;;;3.089;0.168;-6.73;-0.474;;247.988;16.398;117.529;;;114.061;;0.02;0.07;0.02;;;0.03;;0.01;0.04;0.01;;;0.02;18383956.0;;;
ZWE;Zimbabwe;2020;10.531;0.709;;0.697;0.047;6.257;0.421;;;;;3.576;0.241;-3.82;-0.418;;779.383;20.959;610.146;;;148.279;;0.03;0.04;0.04;;;0.03;;0.05;0.05;0.08;;;0.03;14862927.0;;;
